		4”Ôpush																																																																			
																																																																					
																																																																					
																																																																					
16	45	51.182	2	1	1	16	61	2	0	23	36	18	32	25	67	21	18	34	30	14	12	0	45	21	16	32	27	13	26	35	76	18	16	45	26	20	26	30	81	26	19	50	56	58	58	56	71	62	61	78	67	82	72	78	104	81	86	110	91	111	96	99	131	105	114	124	255	255	0
16	45	51.273	12	6	11	11	62	8	7	47	43	22	36	67	87	25	23	55	28	14	26	14	58	18	18	47	27	15	27	24	70	22	17	54	31	28	31	30	85	30	29	63	52	58	55	53	80	59	59	74	74	90	83	86	107	92	95	116	94	110	102	117	141	108	112	124	255	255	0
16	45	51.273	10	5	10	8	56	10	7	47	41	21	37	33	79	26	21	53	32	14	24	0	43	17	16	41	27	13	24	18	64	25	19	53	23	20	23	25	81	26	21	58	51	56	56	58	84	61	59	73	58	78	67	74	88	79	82	98	89	111	97	104	127	110	114	130	255	255	0
16	45	51.273	8	5	8	7	59	10	7	47	45	25	38	37	88	29	24	57	9	7	11	8	49	8	7	41	39	19	33	27	64	23	20	55	25	20	23	26	82	26	24	60	61	62	64	63	103	67	63	81	69	77	73	74	88	80	79	100	102	120	111	115	131	118	124	139	255	255	0
16	45	51.372	10	6	10	9	50	11	10	44	2	2	39	36	89	33	27	60	37	24	34	27	70	21	17	43	47	24	36	31	68	29	26	56	32	22	30	26	81	28	25	61	44	51	47	48	93	58	54	78	59	76	69	73	83	79	79	98	95	117	91	102	122	113	121	132	255	255	0
16	45	51.372	17	9	12	5	49	2	0	34	53	15	49	34	84	24	27	62	46	23	52	38	87	30	24	50	37	21	38	30	65	30	25	53	21	21	35	32	76	29	23	61	56	51	57	59	102	62	57	78	77	81	78	79	98	86	87	98	104	119	102	113	115	122	128	131	255	255	0
16	45	51.469	1	1	4	41	63	37	31	61	69	17	21	19	65	23	33	67	69	36	47	66	97	51	46	73	32	20	30	18	58	26	14	46	12	15	18	17	66	22	17	52	97	93	98	109	130	84	77	100	91	87	82	76	99	82	72	86	91	97	97	106	108	115	119	131	255	255	0
16	45	51.469	0	0	2	3	59	48	43	67	64	33	39	35	70	27	24	54	41	52	49	42	95	55	20	63	51	22	38	24	60	32	28	52	49	25	20	31	66	25	31	62	89	69	75	75	117	78	70	86	96	90	88	57	97	73	73	82	120	162	143	133	129	151	167	156	255	255	0
16	45	51.567	52	7	0	10	47	10	2	31	24	12	10	13	61	18	13	48	22	2	4	9	62	9	2	38	33	21	34	26	65	30	10	38	31	21	21	26	56	34	30	55	25	12	15	28	79	26	27	60	71	85	73	82	112	80	84	99	101	122	109	114	106	122	126	134	255	255	0
16	45	51.567	1	0	20	32	51	5	0	30	0	0	0	3	52	9	3	39	61	44	26	7	68	8	2	43	41	24	46	17	65	20	14	44	0	8	2	4	49	10	11	43	23	20	27	31	79	25	17	54	88	96	82	89	117	92	102	112	117	125	115	121	111	135	138	129	255	255	0
16	45	51.667	17	8	29	20	71	23	22	51	6	1	4	3	57	7	1	35	0	0	5	4	61	6	2	40	8	11	16	6	72	29	17	44	17	13	20	22	60	22	18	46	35	22	37	30	76	27	21	56	68	69	71	77	114	71	66	84	144	148	129	136	123	144	148	141	255	255	0
